DOI,Title,Solvent_Name,Solvent_Type,Battery_Chemistry_Std,SMILES,Concentration_M,Temperature_C,Time_hrs,SLR_gL,Has_Reductant,Reductant_Std,Target_Metal,RDKIT_MW,RDKIT_LogP,RDKIT_TPSA,RDKIT_HBD,RDKIT_HBA,RDKIT_RotBonds,RDKIT_RingCount,RDKIT_AromaticRings,RDKIT_HeavyAtoms,RDKIT_Has_Carboxyl,RDKIT_Has_Hydroxyl,RDKIT_Has_Halogen,RDKIT_Has_Phosphorus,RDKIT_Is_Ionic,RDKIT_Morgan_FP_Density,Efficiency_pct
10.1016/j.jhazmat.2009.11.026,,Citric Acid,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.25,90,0.5,20,1,H2O2,Co,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,91
10.1016/j.jhazmat.2009.11.026,,Citric Acid,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.25,90,0.5,20,1,H2O2,Li,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,99
10.1016/j.wasman.2010.08.008,,DL-malic acid,Organic Acid,LCO,C(C(C(=O)O)O)C(=O)O,1.5,90,0.67,20,1,H2O2,Co,134.09,-1.093,94.83,3,3,3,0,0,9,1,1,0,0,0,0.0146,90
10.1016/j.wasman.2010.08.008,,DL-malic acid,Organic Acid,LCO,C(C(C(=O)O)O)C(=O)O,1.5,90,0.67,20,1,H2O2,Li,134.09,-1.093,94.83,3,3,3,0,0,9,1,1,0,0,0,0.0146,100
10.1016/j.jpowsour.2012.06.068,,Ascorbic Acid,Organic Acid,LCO,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,1.25,70,0.33,25,1,Ascorbic Acid,Co,176.12,-1.407,107.22,4,6,2,1,0,12,0,1,0,0,0,0.0244,94.8
10.1016/j.jpowsour.2012.06.068,,Ascorbic Acid,Organic Acid,LCO,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,1.25,70,0.33,25,1,Ascorbic Acid,Li,176.12,-1.407,107.22,4,6,2,1,0,12,0,1,0,0,0,0.0244,98.5
10.1016/j.seppur.2012.06.034,,PC-88A,Organic Acid,LCO,CCCCC(CC)COP(=O)(OCC(CC)CCCC)O,1.30037035,25,2,37.15122925,0,,Co,322.43,5.553,55.76,1,3,14,0,0,21,0,1,0,1,0,0.0254,90
10.1007/s10163-013-0140-y,,DL-malic acid,Organic Acid,LCO,C(C(C(=O)O)O)C(=O)O,1.5,90,0.67,20,1,H2O2,Li,134.09,-1.093,94.83,3,3,3,0,0,9,1,1,0,0,0,0.0146,100
10.1007/s10163-013-0140-y,,DL-malic acid,Organic Acid,LCO,C(C(C(=O)O)O)C(=O)O,1.5,90,0.67,20,1,H2O2,Co,134.09,-1.093,94.83,3,3,3,0,0,9,1,1,0,0,0,0.0146,90
10.1016/j.jpowsour.2012.12.089,,Citric Acid,Organic Acid,LCO,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.25,90,0.5,20,1,H2O2,Co,192.12,-1.248,132.13,4,4,5,0,0,13,1,1,0,0,0,0.0146,91
